Bowler,Wickets,Wickets Score,Runs Conceded,Balls Bowled,Average,Average Score,Strike Rate,Strike Rate Score,Bowling Score
SN Netravalkar,15,5.0,202,160,13.466666666666669,1.9213888409310984,10.666666666666666,2.0255281690140845,8.946917009945183
R Ravindra,12,4.142857142857142,73,92,6.083333333333333,2.5,7.666666666666667,2.2642375995101043,8.907094742367246
CJ Gannon,11,3.857142857142857,212,142,19.27272727272728,1.777769036004978,12.909090909090908,1.9195596111882565,7.554471504336092
Hassan Khan,10,3.571428571428572,156,132,15.6,1.8561944752240431,13.2,1.908450704225352,7.336073750877967
M Jansen,11,3.857142857142857,267,206,24.27272727272728,1.7091500484137057,18.727272727272727,1.7629563790510052,7.329249284607568
Rashid Khan,10,3.571428571428572,160,158,16.0,1.8459059893858984,15.8,1.8273310750579423,7.244665635872412
GJ Maxwell,10,3.571428571428572,170,156,17.0,1.822302992463096,15.6,1.83261105092091,7.226342614812578
Noor Ahmad,9,3.2857142857142856,121,99,13.444444444444445,1.9221768306818965,11.0,2.007042253521127,7.214933369917309
LH Ferguson,10,3.571428571428572,184,161,18.4,1.7935689092527276,16.1,1.8196570728720147,7.1846545535533135
Jasdeep Singh,6,2.428571428571429,39,45,6.5,2.4323496821601447,7.5,2.283098591549296,7.144019702280869
MP Stoinis,9,3.2857142857142856,218,133,24.22222222222222,1.709701539253396,14.77777777777778,1.855819125277984,6.851234950245665
SH Johnson,9,3.2857142857142856,193,151,21.444444444444443,1.7440339871232329,16.77777777777778,1.8033299132543603,6.833078186091879
TA Boult,9,3.2857142857142856,241,166,26.77777777777778,1.6844066452958515,18.444444444444443,1.76828440522654,6.738405336236677
AJ Tye,5,2.142857142857143,53,30,10.6,2.0503168495286594,6.0,2.5,6.693173992385802
Harmeet Singh,8,3.0,149,118,18.625,1.7893538423963649,14.75,1.8566483647648604,6.646002207161225
Zia-ul-Haq,7,2.7142857142857144,196,147,28.0,1.673941297519766,21.0,1.7253521126760565,6.113579124481537
KA Pollard,5,2.142857142857143,73,58,14.6,1.884382107657316,11.6,1.9764448761534723,6.003684126667931
NP Kenjige,6,2.428571428571429,129,114,21.5,1.7432603981169663,19.0,1.7579688658265382,5.929800692514934
Mohammad Mohsin,6,2.428571428571429,147,138,24.5,1.7066964769228388,23.0,1.698407838334354,5.833675743828621
BL Couch,5,2.142857142857143,97,75,19.4,1.775583658347858,15.0,1.8492957746478875,5.767736575852888
LE Plunkett,5,2.142857142857143,105,73,21.0,1.7503700494602692,14.6,1.8611807833301173,5.7544079756475295
DJ Bravo,5,2.142857142857143,113,83,22.6,1.7287265090877373,16.6,1.8074834549465468,5.679067106891427
Ali Khan,5,2.142857142857143,135,100,27.0,1.6824333810687109,20.0,1.7408450704225351,5.566135594348388
SP Narine,5,2.142857142857143,149,149,29.8,1.660091792134574,29.8,1.633850080347859,5.436799015339576
Haris Rauf,5,2.142857142857143,294,199,58.8,1.5538389730418325,39.8,1.5789864817042962,5.275682597603272
OEG Baartman,4,1.8571428571428568,61,52,15.25,1.0301774816987532,13.0,1.1032502708559049,3.990570609697515
CJ Anderson,4,1.8571428571428568,71,52,17.75,0.9442017533556152,13.0,1.1032502708559049,3.904594881354377
JG Dill,4,1.8571428571428568,81,52,20.25,0.879454599912017,13.0,1.1032502708559049,3.839847727910779
AM Hardie,4,1.8571428571428568,100,61,25.0,0.7921106899166035,15.25,0.9961671669360426,3.6454207139955033
A Desai,2,1.2857142857142856,30,26,15.0,1.040351276219358,13.0,1.1032502708559049,3.4293158327895483
MW Short,4,1.8571428571428568,104,92,26.0,0.7777891176299061,23.0,0.7876913655848132,3.4226233403575765
Zaman Khan,4,1.8571428571428568,106,95,26.5,0.7710336590041054,23.75,0.7747368421052632,3.402913358252226
Imad Wasim,4,1.8571428571428568,111,102,27.75,0.7552100622229507,25.5,0.7474730737365369,3.359825993102345
Ehsan Adil,3,1.5714285714285714,65,64,21.666666666666668,0.849396979063393,21.33333333333333,0.8197403169014084,3.2405658673933724
KMA Paul,3,1.5714285714285714,76,63,25.33333333333333,0.7872112046606281,21.0,0.8267605633802817,3.185400339469481
CP Savage,2,1.2857142857142856,39,32,19.5,0.8971355533523842,16.0,0.9671654929577465,3.150015332024416
N Burger,4,1.8571428571428568,186,131,46.5,0.6199438316743704,32.75,0.6655628427050855,3.142649531522313
SC van Schalkwyk,1,1.0,17,12,17.0,0.967339339071489,12.0,1.163732394366197,3.131071733437686
PJ Cummins,4,1.8571428571428568,211,144,52.75,0.5962241609146668,36.0,0.6395539906103286,3.0929210086678527
MJ Santner,2,1.2857142857142856,42,37,21.0,0.8630365717173905,18.5,0.8874762086029693,3.036227066034645
J Drysdale,3,1.5714285714285714,137,88,45.66666666666666,0.6235970072439306,29.33333333333333,0.6991197183098592,2.8941452969823613
R Shepherd,3,1.5714285714285714,118,101,39.333333333333336,0.6564198609629791,33.666666666666664,0.6577185887602846,2.885567021151835
C le Roux,3,1.5714285714285714,136,95,45.333333333333336,0.6250958836908531,31.666666666666668,0.675418828762046,2.8719432838814702
IG Holland,2,1.2857142857142856,71,42,35.5,0.6819757819090433,21.0,0.8267605633802817,2.7944506310036106
AJ Hosein,2,1.2857142857142856,80,43,40.0,0.652475360121304,21.5,0.816311824434982,2.754501470270572
CA Dry,2,1.2857142857142856,88,76,44.0,0.631318491970501,38.0,0.6257598220904373,2.542792599775224
G Coetzee,1,1.0,28,25,28.0,0.7522148814036607,25.0,0.7548732394366198,2.5070881208402804
AD Russell,2,1.2857142857142856,121,88,60.5,0.5736179424683112,44.0,0.5919014084507042,2.451233636633301
A Nortje,1,1.0,42,34,42.0,0.641393191089931,34.0,0.6549710024855012,2.296364193575432
L Ngidi,1,1.0,56,31,56.0,0.5859823459330662,31.0,0.6818264425261245,2.267808788459191
Abrar Ahmed,1,1.0,59,43,59.0,0.5775298441294766,43.0,0.5968883065836882,2.174418150713165
MG Bracewell,1,1.0,58,50,58.0,0.5802501895375284,50.0,0.566169014084507,2.1464192036220355
Shakib Al Hasan,1,1.0,111,62,111.0,0.5036148734025914,62.0,0.5296456156292594,2.033260489031851
Naveen-ul-Haq,1,1.0,116,77,116.0,0.5,77.0,0.5,2.0
